"income_level","fam_composition","age","occupation","location_preference"
72731,2,18,"White-Collar","Rural"
50324,2,37,"Blue-Collar","Rural"
70337,6,47,"Blue-Collar","Urban"
67379,1,36,"Blue-Collar","Urban"
55692,2,39,"Blue-Collar","Urban"
61306,1,30,"White-Collar","Rural"
59319,2,26,"Others","Urban"
102569,2,34,"Others","Urban"
45173,1,27,"Blue-Collar","Urban"
38080,2,24,"White-Collar","Urban"
60756,1,34,"Others","Urban"
66210,5,28,"White-Collar","Urban"
68730,2,25,"Blue-Collar","Urban"
50833,6,25,"White-Collar","Urban"
38733,2,47,"Others","Urban"
85264,1,42,"White-Collar","Urban"
53007,3,34,"Blue-Collar","Urban"
42690,1,24,"Blue-Collar","Urban"
55274,4,35,"White-Collar","Urban"
56056,1,38,"Others","Urban"
82198,1,19,"Others","Urban"
61695,1,27,"White-Collar","Urban"
75081,3,29,"Blue-Collar","Urban"
50014,3,38,"White-Collar","Urban"
64289,2,26,"Others","Rural"
53506,4,28,"White-Collar","Urban"
61892,1,18,"White-Collar","Urban"
42093,4,33,"Others","Urban"
33784,1,26,"White-Collar","Urban"
99944,2,28,"Blue-Collar","Rural"
72014,1,37,"Others","Rural"
34975,3,41,"White-Collar","Urban"
47777,3,37,"Blue-Collar","Urban"
36290,3,27,"Others","Urban"
103976,4,41,"Blue-Collar","Urban"
86248,3,52,"White-Collar","Urban"
54697,2,42,"White-Collar","Rural"
70864,4,26,"Others","Rural"
51713,3,42,"Others","Urban"
50475,3,48,"Others","Urban"
44228,4,27,"Blue-Collar","Urban"
48108,1,34,"Others","Urban"
93018,4,22,"Blue-Collar","Urban"
58919,1,25,"White-Collar","Rural"
62385,2,24,"Blue-Collar","Urban"
64874,3,43,"Others","Urban"
84650,3,39,"Blue-Collar","Urban"
49679,4,45,"Blue-Collar","Urban"
40150,1,45,"Others","Urban"
93514,1,18,"Blue-Collar","Urban"
51177,2,29,"White-Collar","Rural"
45539,2,50,"Blue-Collar","Rural"
35275,1,49,"Blue-Collar","Rural"
34306,2,32,"Blue-Collar","Rural"
48521,2,42,"White-Collar","Urban"
72360,3,32,"Others","Urban"
82197,4,18,"Others","Urban"
74152,2,40,"Blue-Collar","Rural"
52727,1,23,"Others","Urban"
61195,2,39,"Blue-Collar","Rural"
45908,4,58,"Others","Rural"
45656,2,30,"White-Collar","Urban"
77693,3,30,"Blue-Collar","Urban"
39688,2,18,"Blue-Collar","Urban"
99106,4,42,"White-Collar","Urban"
58194,3,33,"Blue-Collar","Urban"
64291,5,20,"White-Collar","Rural"
45229,3,31,"Others","Urban"
48512,6,53,"Blue-Collar","Urban"
33660,3,41,"White-Collar","Urban"
56341,3,27,"Blue-Collar","Urban"
68380,3,45,"White-Collar","Urban"
66486,2,29,"Others","Urban"
44369,1,35,"Others","Rural"
44228,3,27,"Blue-Collar","Rural"
49956,3,18,"White-Collar","Urban"
89921,1,45,"Blue-Collar","Urban"
37254,1,39,"Blue-Collar","Urban"
56419,3,27,"Blue-Collar","Urban"
98047,2,18,"White-Collar","Urban"
57981,1,36,"Blue-Collar","Urban"
32803,1,50,"Blue-Collar","Urban"
46705,4,32,"Blue-Collar","Rural"
69709,3,25,"Others","Urban"
52488,3,37,"Others","Urban"
48762,3,44,"White-Collar","Urban"
53122,3,35,"Blue-Collar","Urban"
61810,2,26,"White-Collar","Urban"
91970,1,19,"Blue-Collar","Urban"
58229,5,22,"White-Collar","Urban"
81616,2,32,"Blue-Collar","Urban"
72615,1,40,"Blue-Collar","Rural"
57727,3,53,"Blue-Collar","Rural"
29342,1,25,"Blue-Collar","Rural"
49578,2,30,"White-Collar","Urban"
50203,2,44,"White-Collar","Rural"
60943,2,33,"Blue-Collar","Urban"
86004,2,23,"Blue-Collar","Urban"
105862,2,40,"Others","Rural"
90952,3,62,"Others","Urban"
57337,2,58,"Blue-Collar","Rural"
24869,4,33,"White-Collar","Urban"
52224,2,34,"Blue-Collar","Urban"
61784,3,33,"White-Collar","Urban"
76900,1,19,"Blue-Collar","Urban"
79251,2,45,"White-Collar","Rural"
73686,4,43,"Blue-Collar","Urban"
32095,3,39,"Others","Urban"
76993,2,34,"Others","Rural"
51069,2,18,"Blue-Collar","Rural"
63496,2,42,"White-Collar","Urban"
61491,1,42,"Blue-Collar","Rural"
68563,2,26,"Others","Urban"
60493,2,50,"Blue-Collar","Rural"
26650,3,43,"Others","Rural"
74730,2,37,"White-Collar","Urban"
67721,3,24,"Others","Rural"
54687,1,41,"White-Collar","Rural"
62363,1,18,"White-Collar","Urban"
62681,4,37,"White-Collar","Rural"
64420,3,40,"Others","Urban"
92817,5,29,"Others","Urban"
55619,2,39,"Blue-Collar","Urban"
63361,1,23,"Blue-Collar","Urban"
83368,3,22,"Blue-Collar","Urban"
81084,3,39,"White-Collar","Urban"
82905,4,30,"Others","Urban"
48451,2,38,"White-Collar","Urban"
100050,4,19,"Blue-Collar","Urban"
61334,2,18,"Others","Rural"
97337,2,31,"White-Collar","Urban"
32982,4,26,"Blue-Collar","Rural"
60420,2,46,"Blue-Collar","Urban"
84998,2,39,"White-Collar","Rural"
45695,6,34,"White-Collar","Rural"
44946,1,28,"White-Collar","Urban"
41229,3,53,"White-Collar","Urban"
38950,3,39,"Blue-Collar","Rural"
51257,3,54,"White-Collar","Rural"
66624,4,46,"White-Collar","Rural"
19716,1,43,"Others","Urban"
64240,3,29,"Blue-Collar","Urban"
84734,2,57,"Blue-Collar","Urban"
100751,2,42,"White-Collar","Urban"
86024,2,28,"Others","Rural"
75135,2,31,"Others","Urban"
25465,2,56,"Blue-Collar","Urban"
47970,3,46,"Blue-Collar","Rural"
52959,2,24,"White-Collar","Rural"
74070,4,18,"Others","Urban"
57887,3,48,"Blue-Collar","Urban"
34827,5,29,"Blue-Collar","Rural"
93689,2,30,"Blue-Collar","Urban"
78228,5,18,"Blue-Collar","Urban"
64749,1,52,"White-Collar","Urban"
84362,5,34,"Blue-Collar","Urban"
33225,1,19,"Others","Urban"
73216,2,48,"Others","Urban"
49542,2,35,"White-Collar","Urban"
73675,1,25,"Others","Rural"
58784,1,23,"Blue-Collar","Urban"
72659,3,36,"White-Collar","Rural"
86710,4,48,"Blue-Collar","Urban"
60146,3,33,"Blue-Collar","Urban"
80351,4,28,"White-Collar","Urban"
36231,1,47,"Others","Urban"
45568,3,46,"White-Collar","Urban"
90384,5,47,"White-Collar","Urban"
67548,3,38,"White-Collar","Urban"
18956,2,26,"White-Collar","Rural"
32719,3,39,"Blue-Collar","Rural"
55984,6,30,"Others","Urban"
77316,5,18,"Blue-Collar","Rural"
57962,3,39,"Others","Urban"
72484,4,44,"White-Collar","Urban"
79180,3,39,"Blue-Collar","Urban"
93421,4,37,"White-Collar","Urban"
61120,4,36,"Others","Urban"
58960,3,40,"Others","Urban"
24935,3,28,"White-Collar","Urban"
61987,1,21,"White-Collar","Urban"
48563,4,36,"Others","Urban"
40520,1,27,"Blue-Collar","Urban"
56402,3,41,"Others","Rural"
80299,2,20,"White-Collar","Urban"
20145,1,51,"Others","Urban"
51454,2,49,"Others","Urban"
62333,3,25,"White-Collar","Urban"
42136,1,49,"Others","Urban"
66678,4,20,"White-Collar","Rural"
68229,2,32,"Blue-Collar","Urban"
59339,3,34,"Others","Urban"
10682,3,44,"Blue-Collar","Urban"
111429,2,41,"Others","Urban"
55894,1,20,"Blue-Collar","Urban"
73024,1,28,"White-Collar","Urban"
65475,1,33,"Blue-Collar","Urban"
80493,2,41,"Others","Urban"
76353,1,48,"Blue-Collar","Rural"
55804,4,29,"White-Collar","Urban"
67563,2,39,"White-Collar","Urban"
41092,1,37,"Others","Urban"
77138,4,33,"Blue-Collar","Urban"
50779,2,34,"White-Collar","Urban"
108335,5,28,"Others","Urban"
26979,1,34,"Blue-Collar","Urban"
50720,4,51,"Blue-Collar","Rural"
76508,2,18,"Others","Urban"
70203,2,32,"Blue-Collar","Urban"
48210,4,24,"Others","Rural"
40064,5,43,"White-Collar","Urban"
62890,2,41,"Blue-Collar","Urban"
59714,3,18,"White-Collar","Urban"
24194,3,34,"Blue-Collar","Rural"
60691,1,61,"Others","Rural"
63805,2,36,"White-Collar","Urban"
63495,1,48,"Blue-Collar","Urban"
38900,3,38,"White-Collar","Rural"
69523,3,49,"Blue-Collar","Rural"
87571,1,30,"Blue-Collar","Urban"
69125,3,39,"Blue-Collar","Urban"
37288,6,34,"Others","Urban"
51287,4,40,"Others","Rural"
66922,4,18,"Blue-Collar","Urban"
47059,4,22,"White-Collar","Urban"
16847,2,33,"Blue-Collar","Rural"
77685,4,31,"White-Collar","Urban"
43410,4,45,"White-Collar","Rural"
48529,6,32,"Others","Urban"
90078,2,35,"Blue-Collar","Urban"
44517,1,45,"Blue-Collar","Urban"
76915,3,42,"White-Collar","Urban"
34786,1,32,"White-Collar","Urban"
52909,4,42,"Others","Rural"
58529,2,36,"White-Collar","Rural"
36627,2,40,"White-Collar","Urban"
47305,6,43,"Others","Urban"
59423,4,28,"Blue-Collar","Rural"
73414,3,19,"White-Collar","Rural"
26989,4,45,"Blue-Collar","Urban"
53005,6,19,"Others","Rural"
75128,2,37,"White-Collar","Urban"
49224,1,31,"Blue-Collar","Urban"
64546,3,43,"Others","Urban"
69845,5,58,"Blue-Collar","Urban"
65357,6,28,"Others","Rural"
73065,3,34,"Blue-Collar","Urban"
57546,2,38,"Others","Rural"
51726,1,27,"Others","Urban"
7137,1,31,"White-Collar","Urban"
58141,1,22,"Blue-Collar","Rural"
68606,3,18,"Blue-Collar","Rural"
70708,3,26,"Blue-Collar","Rural"
48894,1,37,"Blue-Collar","Urban"
95590,3,35,"Blue-Collar","Urban"
65728,5,25,"Blue-Collar","Urban"
62526,4,30,"White-Collar","Urban"
85445,2,30,"Blue-Collar","Urban"
45631,3,28,"Others","Urban"
50993,3,25,"White-Collar","Urban"
107949,2,38,"White-Collar","Urban"
60223,3,40,"Others","Rural"
92671,3,29,"Blue-Collar","Urban"
31230,2,49,"Others","Urban"
56190,1,45,"Blue-Collar","Urban"
67568,2,30,"Others","Urban"
66001,1,24,"Blue-Collar","Rural"
39887,3,39,"Blue-Collar","Urban"
60385,1,30,"Others","Rural"
38452,2,34,"Blue-Collar","Rural"
74254,2,43,"Blue-Collar","Urban"
81696,3,36,"White-Collar","Urban"
15500,1,29,"Blue-Collar","Rural"
84714,2,28,"Blue-Collar","Urban"
35179,4,38,"White-Collar","Urban"
69095,1,38,"Others","Urban"
73198,4,31,"Others","Rural"
56002,3,38,"Blue-Collar","Urban"
47098,3,26,"Blue-Collar","Rural"
63306,2,53,"Others","Urban"
68776,3,21,"Blue-Collar","Urban"
77666,2,51,"Blue-Collar","Rural"
18953,5,36,"White-Collar","Urban"
27272,3,35,"Blue-Collar","Urban"
88608,2,22,"Blue-Collar","Rural"
80933,4,43,"White-Collar","Urban"
68706,3,48,"Blue-Collar","Urban"
74304,1,25,"White-Collar","Rural"
78343,1,42,"White-Collar","Urban"
6782,2,48,"Blue-Collar","Urban"
82206,2,52,"White-Collar","Urban"
50300,3,26,"Others","Urban"
64612,1,25,"Blue-Collar","Urban"
54097,6,33,"Blue-Collar","Urban"
77439,5,37,"Others","Rural"
53031,2,26,"Blue-Collar","Urban"
70370,3,28,"Blue-Collar","Urban"
52186,3,46,"Others","Urban"
38144,3,33,"White-Collar","Urban"
84200,3,45,"Others","Rural"
74818,1,30,"Others","Rural"
94485,2,44,"Blue-Collar","Urban"
61303,3,36,"White-Collar","Rural"
82500,6,34,"White-Collar","Urban"
99508,4,18,"White-Collar","Rural"
54370,3,21,"Blue-Collar","Urban"
33541,4,42,"Others","Rural"
55213,2,22,"White-Collar","Urban"
55719,3,24,"Blue-Collar","Urban"
63034,2,37,"Blue-Collar","Rural"
94246,2,44,"Others","Urban"
53477,4,32,"White-Collar","Urban"
67460,2,43,"Blue-Collar","Rural"
55446,4,22,"Blue-Collar","Urban"
60409,2,45,"Others","Rural"
66281,2,43,"Blue-Collar","Urban"
86564,4,30,"Others","Rural"
62426,3,38,"Blue-Collar","Urban"
74257,2,47,"Others","Urban"
75577,1,25,"Others","Urban"
78295,2,26,"Blue-Collar","Urban"
48512,3,35,"White-Collar","Urban"
92538,2,31,"Others","Rural"
52381,3,33,"White-Collar","Urban"
57884,1,41,"Blue-Collar","Urban"
88081,2,37,"White-Collar","Rural"
85882,2,50,"Blue-Collar","Urban"
38200,2,25,"White-Collar","Rural"
42539,4,40,"Blue-Collar","Rural"
32838,1,35,"White-Collar","Rural"
63637,1,25,"Blue-Collar","Urban"
63297,3,18,"White-Collar","Rural"
67282,3,42,"Others","Urban"
71043,3,34,"Others","Urban"
47962,4,22,"White-Collar","Rural"
40126,4,38,"Blue-Collar","Rural"
80536,1,34,"Others","Rural"
75021,1,51,"Blue-Collar","Urban"
29817,3,26,"Others","Urban"
58097,2,43,"Blue-Collar","Rural"
42081,1,29,"Blue-Collar","Rural"
18585,2,20,"Others","Urban"
63002,1,47,"Others","Urban"
58416,2,18,"White-Collar","Rural"
58053,1,38,"Others","Urban"
64323,2,41,"White-Collar","Urban"
77649,2,39,"Others","Rural"
64112,4,29,"Others","Urban"
47671,4,26,"Others","Rural"
45304,2,40,"Blue-Collar","Urban"
57364,4,36,"Others","Urban"
66200,2,24,"White-Collar","Urban"
39206,1,25,"White-Collar","Rural"
56314,3,24,"White-Collar","Urban"
79345,1,18,"White-Collar","Urban"
57834,1,46,"White-Collar","Urban"
46032,3,34,"Others","Urban"
54481,6,31,"Blue-Collar","Rural"
82293,6,50,"White-Collar","Urban"
71001,3,41,"Others","Rural"
84734,1,51,"Blue-Collar","Urban"
62782,3,58,"Others","Rural"
68206,3,30,"Others","Rural"
48831,2,37,"White-Collar","Urban"
72107,2,62,"Blue-Collar","Rural"
49873,2,44,"Blue-Collar","Urban"
31589,2,57,"White-Collar","Urban"
62560,4,41,"White-Collar","Urban"
98917,3,38,"Others","Urban"
76018,4,49,"Blue-Collar","Rural"
83305,1,46,"Blue-Collar","Rural"
67177,2,33,"Blue-Collar","Urban"
47829,1,35,"Others","Urban"
55955,4,31,"Blue-Collar","Urban"
54535,4,48,"White-Collar","Urban"
50626,3,30,"White-Collar","Rural"
74083,3,37,"Blue-Collar","Urban"
36053,1,22,"Others","Urban"
77327,4,49,"Blue-Collar","Urban"
